Id,TTkl,TklW,Def3rd,Mid3rd,Att3rd,CTkl,DefAtt,CTklPer,Lost,Blocks,BlkSh,BlkPass,BlkInt,BlkTklInt,BlkClr,BlkErr
972aeb2a,41,26,28,12,1,20,27,74.1,7,32,17,15,29,70,81,3
1c7012b8,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0
79300479,49,17,18,21,10,17,58,29.3,41,23,1,22,15,64,5,0
35e413f1,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1
bc7dc64d,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1
67ac5bb8,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1
98ea5115,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,5
fed7cb61,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0
48a5a5d6,30,24,9,12,9,13,32,40.6,19,23,1,22,5,35,9,1
51cf8561,50,30,19,24,7,35,52,67.3,17,18,3,15,20,70,26,2
38ceb24a,27,16,8,9,10,9,25,36.0,16,27,1,26,8,35,6,0
b66315ae,24,17,11,5,8,5,18,27.8,13,23,1,22,13,37,12,0
dc3e663e,20,12,11,8,1,14,19,73.7,5,11,3,8,8,28,28,1
b3af9be1,20,9,15,4,1,11,18,61.1,7,10,4,6,18,38,33,0
a53649b7,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,4,0
45db685d,24,10,6,10,8,11,23,47.8,12,17,1,16,12,36,7,1
529f49ab,14,11,9,4,1,5,10,50.0,5,9,3,6,11,25,9,0
466fb2c5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2
17695062,4,1,2,2,0,2,4,50.0,2,3,1,2,3,7,1,0
6412cc03,3,2,2,0,1,3,3,100.0,0,0,0,0,2,5,2,0
c5bdb6e3,9,6,5,1,3,8,10,80.0,2,5,1,4,1,10,5,0
41034650,2,2,1,1,0,0,0,,0,1,0,1,0,2,1,0
839c14e1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
47a34c4f,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
7f94982c,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
