Id,miscFls,miscFld,miscOff,miscCrs,miscOG,miscRecov,miscWon,miscLost,miscWonPer
972aeb2a,22,16,0,3,0,213,72,49,59.5
1c7012b8,34,13,2,60,0,178,39,43,47.6
79300479,30,36,3,77,0,158,3,9,25.0
35e413f1,19,12,11,57,0,120,36,22,62.1
bc7dc64d,41,69,8,181,0,155,23,36,39.0
67ac5bb8,35,34,1,4,1,136,77,62,55.4
98ea5115,0,4,0,0,0,38,5,1,83.3
fed7cb61,49,44,15,12,0,122,102,101,50.2
48a5a5d6,23,24,9,109,0,95,15,26,36.6
51cf8561,7,9,1,30,0,104,27,16,62.8
38ceb24a,15,20,9,57,0,88,5,10,33.3
b66315ae,26,32,16,9,0,59,15,38,28.3
dc3e663e,10,3,0,12,0,35,15,11,57.7
b3af9be1,14,8,1,14,0,54,25,20,55.6
a53649b7,24,28,8,5,0,24,23,27,46.0
45db685d,9,15,0,3,0,49,7,7,50.0
529f49ab,10,6,0,2,0,56,7,8,46.7
466fb2c5,0,1,0,0,0,6,0,0,
17695062,5,2,0,1,0,15,3,5,37.5
6412cc03,8,10,2,15,0,16,1,0,100.0
c5bdb6e3,5,6,0,14,0,22,0,5,0.0
41034650,3,0,1,1,0,4,1,1,50.0
839c14e1,0,1,0,4,0,3,0,1,0.0
47a34c4f,1,0,0,0,0,2,1,1,50.0
7f94982c,1,1,0,0,0,0,1,0,100.0
