Id,typeLive,typeDead,typeFK,typeTB,typeSw,typeCrs,typeTI,typeCK,CKIn,CKOut,Str,OcCmp,OcOff,OcBlocks
972aeb2a,2794,55,33,3,2,3,7,0,0,0,0,2635,2,11
1c7012b8,2181,107,48,2,17,60,1,47,38,0,0,2041,7,26
79300479,1887,103,55,39,3,77,13,26,21,1,0,1692,16,38
35e413f1,1922,251,46,5,11,57,205,0,0,0,0,1828,4,21
bc7dc64d,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50
67ac5bb8,2030,122,53,2,4,4,4,0,0,0,0,1914,5,22
98ea5115,898,167,71,0,1,0,0,0,0,0,0,800,3,2
fed7cb61,938,12,3,2,0,12,6,0,0,0,0,764,5,16
48a5a5d6,878,49,3,3,3,109,11,35,30,0,0,724,2,29
51cf8561,1395,165,46,11,5,30,119,0,0,0,0,1374,8,14
38ceb24a,625,46,6,8,2,57,8,24,22,0,0,494,2,30
b66315ae,482,23,2,8,2,9,6,0,0,0,0,403,8,18
dc3e663e,550,73,6,1,1,12,67,0,0,0,0,523,2,2
b3af9be1,615,80,7,2,2,14,73,0,0,0,0,574,2,11
a53649b7,199,16,0,3,0,5,1,0,0,0,0,168,0,10
45db685d,759,18,13,5,1,3,1,0,0,0,0,699,8,5
529f49ab,609,24,14,3,3,2,10,0,0,0,0,570,3,3
466fb2c5,153,35,16,0,0,0,0,0,0,0,0,131,0,2
17695062,207,6,3,0,1,1,1,1,0,0,0,188,0,2
6412cc03,137,12,3,3,2,15,0,8,3,0,0,122,1,1
c5bdb6e3,132,12,4,0,1,14,3,5,4,0,0,127,0,3
41034650,67,7,1,0,1,1,6,0,0,0,0,66,0,2
839c14e1,61,8,2,0,0,4,6,0,0,0,0,60,0,1
47a34c4f,39,1,1,0,0,0,0,0,0,0,0,39,0,0
7f94982c,18,0,0,0,0,0,0,0,0,0,0,15,0,0
